,question,,A,B,C,D,,extraOutput,,,,,,,answer
1,"If the null hypothesis is true with a significance level of 5%, how many tests would you expect to be significant out of 100?",,,,,,,,,,,,,,5
2,"If the null hypothesis is true with a significance level of 10%, how many tests would you expect to be NOT significant out of 100?",,,,,,,,,,,,,,90
3,"Based on the Confidence Interval in the picture, would you reject the null hypothesis?""",,"""Yes""","""No""",,,,"img(src=""CIQ3.png"",height = 150,width =500,align = ""middle"")",,,,,,,B
4,"Based on the Confidence Interval in the picture, would you reject the null hypothesis?",,"""Yes""","""No""",,,,"img(src=""CIQ4.png"",height = 150,width =400,align = ""middle"")",,,,,,,A
5,Which alternative hypothesis corresponds to the research question: Does the data suggest females are more likely than males to go to the movies,,"""The gender effect is not equal to zero""","""The gender effect is equal to zero"" ","""Females are more likely than males to go to the movies""","""Males are more likely than females to go to the movies""",,,,,,,,,C
6,Which null hypothesis corresponds to the research question: Are basketall players more likely to be left handed than the general population?,,"""Basketball players are no more likely to be left handed than the general population""","""Basketball players are more likely to be left handed than the general population""","""Basketball players are less likely to be left handed than the general population""","""Basketball players are not equally likely to be left handed than the general population""",,,,,,,,,A
7,Does the p-value get larger or smaller when the sample size increases,,"""Larger""","""Smaller""",,,,,,,,,,,B
8,"Which alternative hypothesis corresponds to the research question: Suppose there are two different drugs for the common cold; drug A and drug B. Does the data suggest that, on the average, drug A works faster than drug B?",,"""Drug A works slower than drug B""","""Drug A and drug B take the same amount of time to work""","""Drug A and drug B take different amounts of time to work""","""Drug A works faster than drug B""",,,,,,,,,D
9,Which null hypothesis corresponds to the research question: Is Lebron James shooting percentage different from the league average?,,"""Lebron James shooting percentage is greater than the league average""","""Lebron James shooting percentage is not different from the league average""","""Lebron James shooting percentage is different from the league average""","""Lebron James shooting percentage is less than the league average""",,,,,,,,,B
10,Does the p-value get larger or smaller when the effect size increases?,,"""Larger""","""Smaller""",,,,,,,,,,,B
11,What size p-value suggests that the null hypothesis provides a reasonable explanation for the data?,,"""Larger""","""Smaller""",,,,,,,,,,,A
12,The purpose of a test statistic is to measure the difference between the data and what is expected under the null hypothesis.,,"""True""","""False""",,,,,,,,,,,A
13,"If the null hypothesis is false then,",,"""A significance test will always reject the null""","""A significance test may still fail to reject the null""","""A significance test will be one sided""","""A significance test will be two sided""",,,,,,,,,B
14,Which p-value might be considered significant?,,"""0.99"""," ""0.32""","""0.57""","""0.02""",,,,,,,,,D
15,Which alternative hypothesis corresponds to the research question: Does the color of a car (red or blue) have an affect on happiness?,,"""Red cars increase the population average happiness""","""Blue cars increase the population average happiness""","""The color has no affect on population average happiness""","""The color has an affect on population average happiness""",,,,,,,,,D
16,Which p-value might be considered significant?,,"""0.999""","""0.7""","""0.4""","""0.001""",,,,,,,,,D
17,What is \\(\\hat{p}\\) ?,,"""The population proportion""","""The sample proportion""","""The population mean""",,,,,,,,,,B
18,What is \\(\\bar{x}\\) ?,,"""The population proportion""","""The sample proportion""","""The population mean""","""The sample mean""",,,,,,,,,D
